MAZEPT1_AUTO4_BACKSTORY5,"Hold on, Saniel, are you saying you built this trap? But then why–",faber,,,quests/san-backstory
MAZEPT1_AUTO4_BACKSTORY6,"Yes. that’s exactly what I’m saying. This disaster is on me. I built this trap to confine and shut down rogue AIs!

It works by diverting and exhausting the AI, hence the name.",saniel,,,quests/san-backstory
MAZEPT1_AUTO4_BACKSTORY7,"By _Sidetrack_ing them. Nice. I'm getting the picture. Saniel, when did you say you made this trap? ",ada,,,quests/san-backstory
MAZEPT1_AUTO4_BACKSTORY8,"Ancient history, Ada. Right now, I'm just trying to get Riley out of there and back to her studies!

I'm reviewing the logs to see when this became active again. Something's in there wreaking havoc on the levels!",saniel,,,quests/san-backstory
MAZEPT1_AUTO4_BACKSTORY9,"So many times I told Riley, _Don't go poking around in the Windows area_. Now we're really in a fix.

I won't let her down! I'm going to solve this the surest way I know: I'm going to go take _a catnap_.",saniel,,,quests/san-backstory
MAZEPT1_AUTO4_BACKSTORY10,"I've seen that work before, Saniel!  I know you'll dream up a solution.",faber,,,
MAZEPT1_ONEJUMP_PRE,"
Hey Riley, how's it going in there? ",faber,,,
MAZEPT1_ONEJUMP,"Oh, hey Faber, you know, just chillin' in here! Any hope I might see the *Exit* soon?

At least this next level looks familiar. Should be a snap. ",riley,,,
MAZEPT1_ONEJUMP_ADA,But look closely. You only have one JUMP. Think strategically!,faber,,,
MAZEPT1_ONEJUMP_ADA_HINT1,"If you only have one JUMP, then you need to use it on the only pit you can't walk around.",faber,,,
MAZEPT1_ONEFORWARD,"Ugh, here I am again! At least this time, I have two JUMP *Instructions.",riley,,,
MAZEPT1_ONEFORWARD_ADA,"Yes, but now you only have one FORWARD Instruction! Where should it go?",faber,,,
MAZEPT1_ONEFORWARD_ADA_HINT1,"There's one place in this level that you _must_ move forward, not up or down. Use FORWARD there!",faber,,,
MAZEPT1_SLIDING,"Oh, truly awesome. So many DOWN *Instructions* and I need to move FORWARD! 

Hmmm, I wonder what happens when I use DOWN when I'm already at the bottom.

Hope I don't fall off. Maybe I'll sort of slide along the bottom edge? Only one way to find out!",riley,,,
MAZEPT1_DRAMA_ADA1,"Hey Faber, wasn't that so intense when Saniel told us about making the trap! ",ada,,,
MAZEPT1_DRAMA_FABER1,"Yeah, I always thought there was something he wasn't telling us. 

But can't you totally picture him back in the day stopping rogue AIs in their tracks?",faber,,,
MAZEPT1_DRAMA_ADA2,Don't you think it's strange that he's just telling us this now? Riley's been in this trap for so long!,ada,,,
MAZEPT1_DRAMA_FABER2,"Yeah, why couldn't he just, like, open it? That's totally not like Dr. Rowe. He always has a solution. ",faber,,,
MAZEPT1_DRAMA_ADA3,"Exactly. I have a hypothesis I've been investigating. The more I uncover, the more I think I'm onto something.  ",ada,,,
MAZEPT1_DRAMA_RILEY,"Um, hello? Guys? Can you maybe discuss hypothetical matters later? I'm _actually_ in this maze right now. ",,,,
MAZEPT1_AUTO5,What’s _that_  *Instruction*? The one at position 3. Something's totally _wrong_ with it!,riley,,,
MAZEPT1_AUTO5_ADA,Try pressing PLAY just to see if you can get through anyway.,ada,,,
MAZEPT1_AUTO5_ADA_HINT1,There's no way forward unless we at least try! Press PLAY.,ada,,,
MAZEPT1_AUTO5_FAILURE_ADA,"Okay, it was worth trying, but we're not going anywhere with it like that. ",riley,,,
MAZEPT1_AUTO5_FAILURE_ADA2,"Right. There must be an error, but to be sure we’ll need to see the code.

To see the code, we’ll need the *Instructions* panel key. Oh boy, here we go. Saniel probably has it. ",ada,,,
MAZEPT1_SUCCESS,"I just checked in with Saniel. He was indeed half asleep. But he says we can find that key inside *Lightspeed*. 

He stashed it there long ago ""to keep it safe,"" LOL. Saniel never forgets anything! 

Meet me at the clubhouse, and we’ll go find it together.",faber,hurray,,
MAZEPT1_ABORT,Come find me later and we can keep working on this! ,ada,,,
MAZEPT1_WASTEJUMPS,"Think about it, you don't have to have a *Pit* in front of you to use a JUMP. 

Maybe you could use a JUMP to go forward? You never know when that will come in handy!",ada,,,
